코드,배송처명,통합도매장,권역,누적배송료
200486,천안역동부편의점(최진옥),천안역동부편의점(최진옥),충청권,15000
204065,"서울3,4홈편의점","서울3,4홈편의점",수도권,870
33047,보광주류상사(유) 서울,보광주류상사(유) 서울,수도권,308260
33050,(유)중앙종합주류,(유)중앙종합주류,수도권,3283750
33052,두리주류판매,두리주류판매,수도권,738240
33055,동풍상사㈜,동풍상사㈜,수도권,343120
33056,동우주류㈜,동우주류㈜,수도권,68640
33059,나산주류상사,나산주류상사(통합),수도권,2368560
33061,(유)선진주류,(유)선진주류,수도권,481690
33064,상승상사(주),상승상사(주),수도권,477570
33065,(유)만두유통,(유)만두유통(통합),수도권,5218030
33066,일호물산(주),일호물산(주),수도권,252760
33070,가야주류(주),가야주류(주),수도권,567870
33072,남서울주류(주),남서울주류(주),수도권,164060
33073,두손주류가양,두손주류㈜(통합),수도권,560360
33076,(주)용천물산,(주)용천물산,수도권,72960
33079,세계주류㈜신림,세계주류㈜신림,수도권,11549880
33080,서영주류판매(유),서영주류판매(유)(통합),수도권,8824290
33081,(유)남부상사,(유)남부상사,수도권,375400
33082,신림주류(신내),신림주류(신내),수도권,207300
33083,우성식품,우성식품(통합),수도권,884960
33085,풍원식품(주),풍원식품(주),수도권,78450
33087,성동주류판매(주),성동주류판매(주),수도권,74220
33088,서우상사 유한회사,서우상사 유한회사,수도권,462860
33089,(주)대영주류,대영주류(주)_갓잇(통합),수도권,434610
33090,재영유통(주),재영유통(주),수도권,5040
33091,(주)명지주류,(주)명지주류,수도권,427330
33092,대정 주식회사,대정 주식회사(통합),수도권,4660590
33094,대풍주류판매,대풍주류판매,수도권,125370
33095,성주실업(유),성주실업(유),수도권,59160
33097,송정주류(유),송정주류(유),수도권,1010210
33098,서울주류합동(주),서울주류합동(주),수도권,88610
33100,진양주류(주),진양주류(주),수도권,140520
33102,은하수주류(주),은하수주류(주),수도권,23310
33103,강남양행(명),강남양행(명),수도권,211830
33105,성북칠성㈜,성북칠성㈜,수도권,4350
33106,천지상사(유한),천지상사(유한),수도권,59180
33107,(주)모닝코리아,(주)모닝코리아,수도권,472250
33108,석재상사(유),석재상사(유),수도권,311270
33109,삼정종합주류 주식회사,삼정종합주류 주식회사,수도권,98880
33110,수창주류(주),수창주류(주),수도권,9390
33112,(주)경남주류,(주)경남주류,수도권,270070
33114,아리랑주류㈜,아리랑주류㈜,수도권,211560
33116,(유)태남흥산,(유)태남흥산,수도권,117840
33118,(유)정진주류상사,(유)정진주류상사,수도권,92400
33119,삼일주류(유),삼일주류(유),수도권,191590
33120,(주)신원주류-마포,(주)신원주류-마포,수도권,70320
33121,경일주류㈜,경일주류㈜,수도권,391460
33122,(주)원창진흥,(주)원창진흥,수도권,311240
33126,(주)진성통합상사,(주)진성통합상사,수도권,3290190
33128,화성통합상사,화성통합상사,수도권,393440
33129,임성상사 주식회사,임성상사 주식회사,수도권,30450
33131,진두유통(유),진두유통(유),수도권,1030870
33132,동천주류등촌,동천주류등촌,수도권,1188720
33133,해성주류(주),해성주류(주),수도권,191370
33134,서광상사(유),서광상사(유),수도권,39940
33135,서림유통(주),서림유통(주),수도권,21750
33136,동대문종합주류,동대문종합주류,수도권,294010
33138,(합)배원유통,(합)배원유통,수도권,199740
33140,(주)승진종합주류,(주)승진종합주류,수도권,445320
33141,유화진흥㈜,유화진흥㈜,수도권,507860
33142,(주)중문주류,(주)중문주류,수도권,171050
33143,선전기업(주),선전기업(주),수도권,497850
33145,양강물산㈜,양강물산㈜,수도권,33060
33148,금강주류성동,금강주류성동,수도권,365700
33149,성북합동상사(주),성북합동상사(주),수도권,898020
33151,(유)동남양행,(유)동남양행,수도권,300260
33152,(주)양지종합주류,(주)양지종합주류,수도권,528840
33153,신승상사(주),신승상사(주),수도권,607290
33155,세왕상사(주),세왕상사(주),수도권,3429830
33156,(유)두하실업,(유)두하실업,수도권,494270
33158,동성주류(유),동성주류(유),수도권,647360
33159,송화주류상사(유),송화주류상사(유),수도권,1123790
33161,정방주류(주),정방주류(주),수도권,623250
33162,(주)신성주류-양천,(주)신성주류-양천,수도권,15120
33164,(명)영풍통합상사,(명)영풍통합상사,수도권,314290
33165,(유) 거산주류,(유) 거산주류,수도권,225600
33166,산성주류(주),산성주류(주),수도권,39990
33167,(유)삼부주류판매,(유)삼부주류판매,수도권,3097405
33169,용화상사(주),용화상사(주),수도권,126120
33171,다산주류서초,다산주류서초,수도권,2826780
33172,세명주류(유),세명주류(유),수도권,135580
33173,세광주류구로,세광주류구로,수도권,760400
33174,(주)북창기업,(주)북창기업,수도권,4293595
33175,(주)선호상사,(주)선호상사,수도권,423150
33176,쌍용종합주류판매(주),쌍용종합주류판매(주),수도권,268670
33177,(주)임창상사,(주)임창상사,수도권,489900
33178,(주)충무주류,(주)충무주류,수도권,171720
33179,(유)용우상사,(유)용우상사(통합),수도권,4996040
33180,(유)영일흥산,(유)영일흥산,수도권,244520
33181,대림종합주류(유),대림종합주류(유),수도권,54840
33182,(유)신합상사(오전배송),(유)신합상사(오전배송)(통합),수도권,3141490
33184,(주)금성주류,(주)금성주류,수도권,55830
33189,삼한주류상사(주),삼한주류상사(주),수도권,86250
33190,종로기업(주),종로기업(주),수도권,1521990
33191,북부주류판매상사(유),북부주류판매상사(유),수도권,30240
33192,광장주류판매(주),광장주류판매(주),수도권,2143140
33194,청룡주류(주),청룡주류(주),수도권,631120
33195,(유)광진주류판매,(유)광진주류판매,수도권,258750
33196,신내종합주류㈜,신내종합주류㈜,수도권,1540165
33197,동양주류(주),동양주류(주)(통합),수도권,541790
33198,덕윤주류판매(주),덕윤주류판매(주),수도권,33330
33199,민선종합주류㈜,민선종합주류㈜,수도권,107940
33200,럭키주류(주),럭키주류(주),수도권,36330
33202,(주)신정주류,(주)신정주류,수도권,10440
33205,타래주류(유),타래주류(유),수도권,51780
