배송처코드,배송처명,통합그룹,권역,통합정산
33278,포도주류분당(오전8시이전),포도주류(분당),수도권,O
85943,포도주류분당_프랜차이즈,포도주류(분당),수도권,O
33342,포도주류유한회사_의왕(오전8시30분),포도주류(의왕),수도권,O
83958,포도주류유한회사_클럽(의왕),포도주류(의왕),수도권,O
33080,서영주류판매(유),서영,수도권,O
85720,서영주류판매(유)_ThursdayParty,서영,수도권,O
85751,서영주류판매(유)_고래맥주창고,서영,수도권,O
86500,서영주류판매(유)_CLUB,서영,수도권,O
33387,(주)해동주류-성남(오전9시),해동주류(성남),수도권,O
85827,해동주류(주)_파운틴,해동주류(성남),수도권,O
85896,해동주류(주)_CGV,해동주류(성남),수도권,O
33182,(유)신합상사(오전배송),신합,수도권,O
81621,(유)신합상사(오전배송),신합,수도권,O
35509,대진주류㈜남양주,대진주류(남양주),수도권,O
86275,대진주류㈜남양주_Hotel,대진주류(남양주),수도권,O
33050,(유)중앙종합주류,중앙종합주류,수도권,O
85976,중앙종합주류(유)_프랜차이즈,중앙종합주류,수도권,O
33210,(유)원천종합주류(오전8시),원천,수도권,O
36787,원천씨제이(오전8시),원천,수도권,O
36580,원천인천공항(오전8시),원천,수도권,O
33065,(유)만두유통,만두유통,수도권,O
86322,만두유통(유)_아웃백,만두유통,수도권,O
33092,대정 주식회사,대정(본점),수도권,O
86226,대정_프랜차이즈,대정(본점),수도권,O
86560,주식회사 대정_호텔,대정(본점),수도권,O
33987,(유)디오니,디오니(+스포츠),전라권,O
86022,(유)디오니_스포츠,디오니(+스포츠),전라권,O
33322,백산주류(유),백산,수도권,O
86023,백산주류(유)_클럽,백산,수도권,O
33627,(주)삼진,삼진,경상권,O
80970,삼진(주)텍사스거리,삼진,경상권,O
33706,호담주류대구,호담,경상권,O
84148,(자)호담주류_GOVASON,호담,경상권,O
85832,대정(주)_고양하치장,대정(고양하치장),수도권,O
86225,대정_고양하치장_프랜차이즈,대정(고양하치장),수도권,O
33247,서린주류주식회사,서린,수도권,O
86363,서린주류주식_Morning,서린,수도권,O
83721,화산세계주류주식회사_브루락,화산,경상권,O
36773,화산세계주류,화산,경상권,O
33179,(유)용우상사,용우,수도권,O
86024,용우상사(유)_슈가레이,용우,수도권,O
33059,나산주류상사,나산,수도권,O
85989,나산주류상사_인서울CC,나산,수도권,O
33236,의창실업(주),의창,수도권,O
86317,의창실업(주)_더블린,의창,수도권,O
33453,세계주류㈜춘천,세계,강원권,O
86424,세계주류(주)춘천_ALSM,세계,강원권,O
83770,세계주류마켓,세계,강원권,O
80200,에이리커컴퍼니대구,에이리커컴퍼니,경상권,O
84012,에이리커컴퍼니_GOVASON,에이리커컴퍼니,경상권,O
33725,한진산업(자),한진산업,경상권,O
84147,(자)한진산업_GOVASON,한진산업,경상권,O
33486,유일상사(주),유일상사,충청권,O
86468,유일상사(주)_MacFries,유일상사,충청권,O
33825,(유)신일주류,신일,경상권,O
85619,신일주류(유)_맥구피,신일,경상권,O
38167,두손주류㈜,두손,수도권,O
33073,두손주류가양,두손,수도권,O
33089,(주)대영주류,대영,수도권,O
86268,대영주류(주)_갓잇,대영,수도권,O
84153,(유)청담주류,청담,수도권,O
84171,(주)청담주류,청담,수도권,O
86010,(자)중국주류_프랜차이즈,중국,수도권,O
81995,(자)중국주류,중국,수도권,O
33270,대화주류(주),대화,수도권,O
86009,대화주류(주)_프랜차이즈,대화,수도권,O
33718,동양주류(주),동양주류,경상권,O
86036,동양주류(주)_대구FC,동양주류,경상권,O
33083,우성식품,우성,수도권,O
86409,우성식품(주)_페스티벌,우성,수도권,O
38947,다함주류(유),다함,수도권,O
86340,다함주류(유)_코르크,다함,수도권,O
37347,대명주류상사㈜,대명,수도권,O
86411,대명주류상사(유)_한림용인cc,대명,수도권,O
33683,두산상사(주),두산,경상권,O
37216,두산상사GOLF,두산,경상권,O
33625,(주)동남,동남,경상권,O
80291,동남㈜부산CC,동남,경상권,O
33777,황재주류(주),황재,경상권,O
86090,황재주류(주)_BAY CLUB,황재,경상권,O
33868,광신주류(주),광신,경상권,O
83651,광신주류(주) 클럽디,광신,경상권,O
33547,청호주류합명회사,청호주류,충청권,O
86392,청호주류합명회사_디아너스CC,청호주류,충청권,O
