SKU,Seoul,Gwangju,Daejeon,D&J,Busan
HE ORI 330 Bottle,0.5056,0.0919,0.0952,0.0945,0.2128
HE ORI 330 Can,0.4319,0.1816,0.0587,0.1379,0.1899
HE ORI 500 Can,0.5688,0.2213,0.0378,0.1005,0.0716
HE ORI 5000 Keg,0.8723,0.0441,0.0285,0.0451,0.01
HE ORI 20000 Air Keg,0.503,0.0756,0.1197,0.1153,0.1864
HE 0.0 330 Bottle,0.3525,0.0361,0.0792,0.1874,0.3448
HE 0.0 330 Can,0.5322,0.0105,0.0176,0.0772,0.3625
HE 0.0 500 Can,0.6053,0.1316,0.1184,0.1316,0.0131
HE SLV 330 Bottle,0.3818,0.1362,0.1098,0.1746,0.1976
HE SLV 250 Can,0.503,0.0756,0.1197,0.1153,0.1864
HE SLV 330 Can,0.8283,0.0158,0.0718,0.0047,0.0794
HE SLV 500 Can,0.4895,0.218,0.0361,0.2028,0.0536
DE ORI 330 Bottle,0.6719,0.0216,0.0988,0.0799,0.1278
ED WHE 500 Can,0.7929,0.1149,0.0348,0.0097,0.0477
ED WHE 8000 Blade,0.5725,0.1263,0.0559,0.1401,0.1052
TI ORI 330 Bottle,0.6383,0.0597,0.1033,0.0785,0.1202
TI ORI 640 Bottle,0.5544,0.0718,0.0857,0.152,0.1361
TI ORI 330 Can,0.4289,0.2619,0.0682,0.0474,0.1936
TI ORI 500 Can,0.6097,0.2128,0.052,0.0739,0.0516
TI RAD 330 Can,0.2873,0.083,0.0375,0.1891,0.4031
TI RAD 500 Can,0.6982,0.1137,0.0563,0.0744,0.0574
TI RGR 500 Can,0.6017,0.1782,0.0979,0.0569,0.0653
BI ORI 330 Bottle,0.7699,0.0309,0.0726,0.0648,0.0618
BI ORI 440 Can,0.5934,0.002,0.0,0.0272,0.3774
SU ORI 500 Can,0.6307,0.0913,0.0041,0.1743,0.0996
SU ORI 500 Bottle,0.5937,0.1211,0.0708,0.1153,0.0991
PA HEL 500 Can,0.5243,0.0993,0.0887,0.1089,0.1788
PA WHE 500 Can,0.5243,0.0993,0.0887,0.1089,0.1788
PA WHE 20000 Keg,0.5038,0.0754,0.1195,0.115,0.1863
